"year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode"
2016,"ALABAMA","AL","AUTAUGA",1001,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",5936,24973,20220315,"TOTAL"
2016,"ALABAMA","AL","AUTAUGA",1001,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",18172,24973,20220315,"TOTAL"
2016,"ALABAMA","AL","AUTAUGA",1001,"US PRESIDENT","OTHER","OTHER",865,24973,20220315,"TOTAL"
2016,"ALABAMA","AL","BALDWIN",1003,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",18458,95215,20220315,"TOTAL"
2016,"ALABAMA","AL","BALDWIN",1003,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",72883,95215,20220315,"TOTAL"
2016,"ALABAMA","AL","BALDWIN",1003,"US PRESIDENT","OTHER","OTHER",3874,95215,20220315,"TOTAL"
2016,"ALABAMA","AL","BARBOUR",1005,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",4871,10469,20220315,"TOTAL"
2016,"ALABAMA","AL","BARBOUR",1005,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",5454,10469,20220315,"TOTAL"
2016,"ALABAMA","AL","BARBOUR",1005,"US PRESIDENT","OTHER","OTHER",144,10469,20220315,"TOTAL"
2016,"ALABAMA","AL","BIBB",1007,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",1874,8819,20220315,"TOTAL"
2016,"ALABAMA","AL","BIBB",1007,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",6738,8819,20220315,"TOTAL"
2016,"ALABAMA","AL","BIBB",1007,"US PRESIDENT","OTHER","OTHER",207,8819,20220315,"TOTAL"
2016,"ALABAMA","AL","BLOUNT",1009,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",2156,25588,20220315,"TOTAL"
2016,"ALABAMA","AL","BLOUNT",1009,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",22859,25588,20220315,"TOTAL"
2016,"ALABAMA","AL","BLOUNT",1009,"US PRESIDENT","OTHER","OTHER",573,25588,20220315,"TOTAL"
2016,"ALABAMA","AL","BULLOCK",1011,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",3530,4710,20220315,"TOTAL"
2016,"ALABAMA","AL","BULLOCK",1011,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",1140,4710,20220315,"TOTAL"
2016,"ALABAMA","AL","BULLOCK",1011,"US PRESIDENT","OTHER","OTHER",40,4710,20220315,"TOTAL"
2016,"ALABAMA","AL","BUTLER",1013,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",3726,8732,20220315,"TOTAL"
2016,"ALABAMA","AL","BUTLER",1013,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",4901,8732,20220315,"TOTAL"
2016,"ALABAMA","AL","BUTLER",1013,"US PRESIDENT","OTHER","OTHER",105,8732,20220315,"TOTAL"
2016,"ALABAMA","AL","CALHOUN",1015,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",13242,47864,20220315,"TOTAL"
2016,"ALABAMA","AL","CALHOUN",1015,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",32865,47864,20220315,"TOTAL"
2016,"ALABAMA","AL","CALHOUN",1015,"US PRESIDENT","OTHER","OTHER",1757,47864,20220315,"TOTAL"
2016,"ALABAMA","AL","CHAMBERS",1017,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",5784,13900,20220315,"TOTAL"
2016,"ALABAMA","AL","CHAMBERS",1017,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",7843,13900,20220315,"TOTAL"
2016,"ALABAMA","AL","CHAMBERS",1017,"US PRESIDENT","OTHER","OTHER",273,13900,20220315,"TOTAL"
2016,"ALABAMA","AL","CHEROKEE",1019,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",1547,10733,20220315,"TOTAL"
2016,"ALABAMA","AL","CHEROKEE",1019,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",8953,10733,20220315,"TOTAL"
